code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603269,海鸥股份,-0.825,28.85,28.58,29.09,27.0,29.09,2814676.0,12.30728,79942068.0,52.455,4.388,263890.95,65979.95
603268,松发股份,-1.77,24.97,24.99,25.25,24.55,25.42,499000.0,1.21293,12416533.0,56.75,3.81,223191.848,102726.58
603266,天龙股份,-3.662,20.52,20.85,20.99,20.33,21.3,360904.0,1.4436200000000001,7452531.0,19.0,2.591,205200.0,51300.0
603260,合盛硅业,-8.057,51.24,54.0,55.35,51.01,55.73,7827590.0,11.18227,417033269.0,47.009,8.512,3433080.0,358680.0
603258,电魂网络,-3.805,23.51,23.9,24.05,23.2,24.44,830899.0,1.2441200000000001,19649241.0,17.415,3.5460000000000003,564240.0,157013.886
603239,浙江仙通,-1.36,16.68,16.6,16.9,16.29,16.91,1326751.0,1.4624700000000002,21995975.0,7.514,4.7780000000000005,451560.96,151320.96
603238,诺邦股份,-2.571,18.95,18.99,19.26,18.5,19.45,566352.0,1.8878400000000002,10688776.0,28.712,2.98,227400.0,56850.0
603233,大参林,1.408,41.77,41.3,42.13,40.0,41.19,898085.0,2.24465,36973387.0,35.101,6.325,1670841.77,167121.77
603232,格尔软件,-2.309,35.54,35.22,36.27,34.44,36.38,439700.0,2.88328,15624122.0,28.894,4.211,216794.0,54198.5
603229,奥翔药业,-1.897,15.0,14.59,15.05,14.59,15.29,620465.0,1.55116,9240365.0,31.25,4.415,240000.0,60000.0
603228,景旺电子,-5.124,42.77,44.1,45.35,40.58,45.08,3484189.0,4.2968,147962879.0,28.705,5.569,1745016.0,346813.384554
603227,雪峰科技,-2.0,4.9,4.9,4.97,4.85,5.0,2295900.0,0.5446500000000001,11256389.0,-92.453,2.801,322763.0,206554.6
603226,菲林格尔,-6.78,23.1,24.0,24.0,22.71,24.78,1509672.0,6.9666500000000005,35199376.0,21.389,2.8280000000000003,206994.48,50057.7
603225,新凤鸣,-0.856,35.91,35.35,36.2,35.01,36.22,3265834.0,4.22488,116463305.0,25.835,3.606,2161782.0,277584.3
603223,恒通股份,0.538,16.81,16.1,16.92,16.1,16.72,949600.0,1.20203,15777908.0,35.021,3.041,201720.0,132799.015129
603222,济民制药,0.0,12.15,0.0,0.0,0.0,12.15,0.0,0.0,0.0,93.462,4.981,388800.0,137222.1
603218,日月股份,-2.749,17.69,17.49,17.94,17.38,18.19,1399008.0,1.40704,24668133.0,18.819,2.606,709369.0,175889.98945
603208,江山欧派,-3.687,34.22,34.69,34.78,34.01,35.53,185521.0,0.9179700000000001,6385661.0,19.011,2.922,276552.560742,69158.62
603203,快克股份,-0.67,34.08,33.5,35.19,33.4,34.31,289330.0,0.71255,9953877.0,23.342,5.977,415050.7776,138381.151584
603200,上海洗霸,-0.147,33.91,33.51,34.18,33.05,33.96,574494.0,3.11717,19341319.0,31.635,3.575,249984.52,62496.13
603199,九华旅游,1.453,25.84,25.2,26.25,24.89,25.47,970329.0,1.33023,24782870.0,38.567,2.809,285997.12,188488.0712
603198,迎驾贡酒,-2.711,15.07,15.21,15.35,14.87,15.49,2024081.0,1.21639,30513014.0,17.729,3.099,1205600.0,250764.8
603197,保隆科技,-2.644,37.92,37.99,39.28,35.11,38.95,669578.0,2.28681,25437141.0,25.161,3.474,452397.94296,111029.76
603196,日播时尚,-4.903,9.31,9.53,9.58,9.25,9.79,2899009.0,4.83168,27286251.0,22.161,2.485,223440.0,55860.0
603189,网达软件,-2.238,12.67,12.54,12.96,12.26,12.96,977345.0,0.8876900000000001,12376470.0,30.902,3.55,279753.6,139496.7
603188,亚邦股份,-2.652,12.85,12.9,13.03,12.66,13.2,5414572.0,0.94003,69646923.0,11.294,2.041,740160.0,740160.0
603186,华正新材,-4.732,18.32,18.87,19.09,18.28,19.23,778900.0,1.05661,14523072.0,21.057,3.99,236969.2,135049.109816
603183,建研院,-8.125,31.21,32.0,32.88,30.9,33.97,1386598.0,6.30272,44251277.0,37.602,4.487,274648.0,68662.0
603181,皇马科技,-5.786,17.91,18.49,18.49,17.5,19.01,2518159.0,5.03632,45666936.0,29.85,2.915,358200.0,89550.0
603180,金牌厨柜,-4.155,142.09,141.5,145.74,141.44,148.25,804195.0,4.7305600000000005,114697847.0,74.005,12.212,952003.0,241553.0
603179,新泉股份,-3.655,30.05,30.0,30.58,29.51,31.19,915366.0,2.29703,27462825.0,31.632,3.817,487621.35,119749.25
603178,圣龙股份,-2.949,11.52,11.65,11.77,11.4,11.87,927536.0,1.85507,10755070.0,21.333,2.9210000000000003,234256.896,57600.0
603177,德创环保,-4.265,15.04,15.0,15.66,14.73,15.71,2398130.0,3.88361,36540400.0,42.971,5.891,303808.0,92872.0
603169,兰石重装,-8.3,6.96,7.4,7.4,6.84,7.59,4739626.0,0.46222,33685533.0,435.0,2.386,731845.758096,713689.23672
603168,莎普爱思,-3.069,11.37,11.3,11.78,11.2,11.73,2282571.0,0.9979500000000001,26115292.0,6.728,1.7000000000000002,282144.362412,260060.325
603167,渤海轮渡,-7.073,10.38,10.77,10.89,10.11,11.17,12632524.0,2.62412,133258319.0,22.463,1.545,499693.2,499693.2
603166,福达股份,-2.279,6.86,6.91,6.94,6.78,7.02,1991220.0,0.33634000000000003,13639987.0,40.353,1.9540000000000002,406124.83506,406124.83506
603165,荣晟环保,-6.15,43.34,45.0,45.0,42.26,46.18,1346300.0,4.24968,59036662.0,33.597,5.796,557135.7,137301.12
603161,科华控股,-3.753,24.62,24.85,25.55,24.25,25.58,2757191.0,8.25506,68351421.0,24.62,3.914,328430.8,82230.8
603160,汇顶科技,-0.381,75.89,74.3,76.5,73.5,76.18,1319442.0,0.5745600000000001,99539277.0,36.138,10.31,3446616.081228,1742768.316
603159,上海亚虹,-4.222,18.83,19.11,19.44,18.5,19.66,735900.0,2.9436,13970953.0,37.66,4.921,188300.0,47075.0
603158,腾龙股份,0.112,17.86,18.29,18.3,17.63,17.84,702200.0,0.67949,12523571.0,32.473,4.086,390517.83,184569.5264
